項次,城市名稱,國別,簽約日期,我方簽約代表,對方簽約代表,城市官方網站,Longitude,Latitude
1,蒙特麗市 ,美國,1965.02.08,葉廷珪市長,杜卡蜜拉女士,https://www.monterey.org/,-118.135556,34.049167
2,光州廣域市,韓國,1968.09.17,林錫山市長,張炯泰市長,https://www.gwangju.go.kr/,126.916667,35.166667
3,聖荷西市,美國,1977.04.12,張麗堂市長,海斯珍妮市長,https://www.sanjoseca.gov/,-121.8728,37.3042
4,堪薩斯市 ,美國,1978.04.10,蘇南成市長,惠勒市長,https://www.kcmo.gov/home,-94.58,39.05
5,哥倫布市,美國,1980.10.07,蘇南成市長,鮑門議長,https://www.columbus.gov/,-82.983333,39.983333
6,加美地市,菲律賓,1980.08.16,蘇南成市長,泰巴西市長,http://cavite.gov.ph/home/cities-and-municipalities/cavite-city/,120.9,14.48
7,大谷地市,菲律賓,1980.08.16,蘇南成市長,馬蓋貝市長,http://www.tagaytay.gov.ph/,120.93,14.1
8,鐵斯馬帝市,菲律賓,1980.08.16,蘇南成市長,雷慕拉省長,https://cavite.gov.ph/home/cities-and-municipalities/trece-martires-city/,120.87,14.28
9,巴賽市,菲律賓,1980.09.10,蘇南成市長,塔布羅市長,http://www.pasay.gov.ph/,121,14.55
10,金門縣,中華民國,1981.04.27,蘇南成市長,谷鵬縣長,https://www.kinmen.gov.tw/Default.aspx,118.3774,24.4504
11,聖泰克魯斯市,玻利維亞,1981.06.05,蘇南成市長,艾吉諾公使,http://www.gmsantacruz.gob.bo/,-63.1975,-17.7892
12,曼德拉都會市,南非,1982.03.11,蘇南成市長,西利市長,http://www.nelsonmandelabay.gov.za/,25.6,-33.95
13,奧蘭多市,美國,1982.06.24,蘇南成市長,佛雷德瑞克市長,https://www.orlando.gov/Home,-81.3867,28.5336
14,黃金海岸市,澳洲,1982.10.27,蘇南成市長,韓特市長,https://www.goldcoast.qld.gov.au/default.html,153.4,-28.016667
15,費班克市,美國,1983.05.16,蘇南成市長,韓理曼榮譽代表,https://www.fairbanksalaska.us/,-147.723056,64.843611
16,拉瑞都市,美國,1985.10.12,楊寶發縣長,唐傑洛市長,https://www.cityoflaredo.com/,-99.490556,27.524444
17,奧克拉荷馬市,美國,1986.08.23,林文雄市長,冠斯市長,https://www.okc.gov/,-97.5352,35.4823
18,亨茲威爾市,美國,1986.08.25,林文雄市長,戴維斯市長,https://www.huntsvilleal.gov/,-86.5861,34.7136
19,卡本得爾市,美國,1991.08.30,施治明市長,迪拉德市長,http://www.ci.carbondale.il.us/,-89.220278,37.726389
20,魯汶市,比利時,1993.03.05,施治明市長,范西納市長,https://www.leuven.be/en,4.7,50.883333
21,史諾霍米須郡,美國,1998.06.30,陳唐山縣長,伊爾副郡長,https://www.snohomishcountywa.gov/,-122.2006,47.9633
22,若那那市,以色列,1999.10.26,張燦鍙市長,比斯基市長,https://www.raanana.muni.il/Pages/default.aspx,34.866667,32.183333
23,薩卡巴市,瓜地馬拉,2003.03.18,許添財市長,皮內達市長,http://www.munizac.gob.gt/,-89.533333,14.966667
24,艾爾布蘭格市,波蘭,2004.04.29,許添財市長,斯隆納市長,http://www.elblag.pl/,19.4,54.17
25,澎湖縣,中華民國,2004.07.07,許添財市長,賴峰偉縣長,https://www.penghu.gov.tw/ch/,119.584036,23.568157
26,凱其歐倫市,土耳其,2005.07.04,許添財市長,阿蒂諾克市長,https://www.kecioren.bel.tr/,32.866667,40
27,埃斯比約市,丹麥,2005.07.07,許添財市長,魯迪恩加德市長,https://www.esbjerg.dk/,8.4514,55.4708
28,卡格楊迪歐市,菲律賓,2005.09.09,許添財市長,艾瑪諾市長,http://www.cagayandeoro.gov.ph/,124.65,8.48
29,仙台市,日本,2006.01.20,許添財市長,梅原克彥市長,http://www.city.sendai.jp/index.html,140.8694,38.2683
30,日光市,日本,2009.01.16,許添財市長,齋藤文夫市長,http://www.city.nikko.lg.jp/,139.6,36.75
31,阿梅爾市,荷蘭,2009.06.20,許添財市長,佐瑞茨瑪市長,https://english.almere.nl/,5.216667,52.366667
32,亞利桑納州,美國,2013.11.12,賴清德市長,布魯爾州長,https://az.gov/,-112.0764,33.5283
33,水上町,日本,2013.12.13,陳宗彥局長,岸良昌町長,https://www.town.minakami.gunma.jp/,138.9990639,36.6786996
34,滋賀縣,日本,2013.12.19,許和鈞副市長,西嶋榮治副知事,https://www.pref.shiga.lg.jp/index.html,135.8685,35.00436
35,帕拉瑪塔市,澳洲,2014.06.05,賴清德市長,希迪市長,https://www.cityofparramatta.nsw.gov.au/,151.001111,-33.815
36,加賀市,日本,2014.07.07,賴清德市長,宮元陸市長,https://www.city.kaga.ishikawa.jp/,136.315,36.3028
37,史泰利亞邦,奧地利,2015.10.05,賴清德市長,巴哈曼廳長,https://www.steiermark.com/en,15.17,47.25
38,錢德勒市,美國,2016.10.27,賴清德市長,塞勒斯副市長,https://www.chandleraz.gov/,-111.8414,33.3033
39,富士宮市,日本,2017.06.24,賴清德市長,須藤秀忠市長,http://www.city.fujinomiya.lg.jp/,138.6214,35.2222
40,青森縣,日本,2017.12.04,李孟諺代理市長,三村申吾知事,http://www.pref.aomori.lg.jp/,140.740639,40.824667
41,弘前市,日本,2017.12.04,李孟諺代理市長,葛西憲之市長,http://www.city.hirosaki.aomori.jp/,140.4642,40.6031
42,山形市,日本,2017.12.06,李孟諺代理市長,佐藤孝弘市長,http://www.city.yamagata-yamagata.lg.jp/,140.33,38.25
43,沃特傑環礁市,馬紹爾,2018.10.02,李孟諺代理市長,基欣諾市長,無網站,170.016667,9.441667
44,西柯紋納市,美國,2020.05.11,黃偉哲市長,吳桐淮市長,https://www.westcovina.org/,-117.9186,34.0567
45,京都市,日本,2021.06.30,黃偉哲市長,門川大作市長,https://www.city.kyoto.lg.jp/,135.7681,35.0117
